properties,count
fragmentsWithSugar,41395588
fragments,41029224
xRefs,18127291
foundInDatabases,9553337
bcutDescriptor,9210354
ertlFunctionalFragments,5492815
ertlFunctionalFragmentsPseudoSmiles,5492811
absoluteSmilesSources,4745646
synonyms,4176855
citationDoi,2545022
geoLocation,1876889
textTaxa,1801992
containsSugar,1536262
fragmentComplexityDescriptor,1536262
bondCount,1536262
idInSource,1536262
isTopological,1536262
heavyAtomNumber,1536262
fmfDescriptor,1536262
eccentricConnectivityIndexDescriptor,1536262
maxNumberOfRings,1536262
petitjeanNumber,1536262
nameTrustLevel,1536262
cleanSmiles,1536262
annotationLevel,1536262
sugarFreeSmiles,1536262
aquisitionDate,1536262
source,1536262
bpol,1536262
sugarFreeTotalAtomNumber,1536262
kappaShapeIndex2,1536262
molecularWeight,1536262
isElectronic,1536262
wienerPathNumber,1536262
totalAtomNumber,1536262
zagrebIndex,1536262
isMolecular,1536262
simpleInchi,1536262
vabcDescriptor,1536262
gravitationalIndexHeavyAtoms,1536262
manholdlogp,1536261
kappaShapeIndex1,1536261
xlogp,1536261
apol,1536261
circularFingerprint,1536261
uniqueSmiles,1536261
numberSpiroAtoms,1536261
molecularFormula,1536261
numberOfNitrogens,1536261
vertexAdjMagnitude,1536261
hBondAcceptorCount,1536261
numberOfOxygens,1536261
containsLinearSugars,1536261
lipinskiRuleOf5Failures,1536261
hBondDonorCount,1536261
pubchemFingerprint,1536261
minNumberOfRings,1536261
containsRingSugars,1536261
sugarFreeHeavyAtomNumber,1536261
simpleSmiles,1536261
petitjeanShapeGeom,1536261
fsp3,1536260
wienerPolarityNumber,1536260
numberOfCarbons,1536260
dataOriginatedFrom,1536260
simpleInchiKey,1536260
petitjeanShapeTopo,1536260
isIdentifiedBy,1536260
smiles,1536259
pubchemBits,1536259
isGeometrical,1536259
isConstitutional,1536259
kappaShapeIndex3,1536258
extendedFingerprint,1536258
pubchemBitsString,1536257
hybridizationRatioDescriptor,1536205
tpsaEfficiency,1535614
alogp,1535614
amralogp,1535613
topoPSA,1535613
alogp2,1535612
originalSmiles,1531454
nplSugarScore,1527132
nplNohScore,1527131
nplScore,1527130
murkoFramework,1424199
cas,599590
name,171018
originalInchi,101256
originalInchiKey,84182
taxonomyReferenceObjects,43026
