property, count
xRefs,18127291
foundInDatabases,9553337
bcutDescriptor,9210358
absoluteSmilesSources,4745646
synonyms,4176855
citationDoi,2545022
geoLocation,1876889
textTaxa,1801992
simpleInchiKey,1536262
hasMolecularDescriptors,1536262
idInSource,1536262
dataOriginatedFrom,1536262
hBondDonorCount,1536262
bpol,1536262
fragmentComplexityDescriptor,1536262
hasMolecularFeatures,1536262
numberOfCarbons,1536262
minNumberOfRings,1536262
aquisitionDate,1536262
heavyAtomNumber,1536262
fmfDescriptor,1536262
cleanSmiles,1536262
kappaShapeIndex2,1536262
molecularWeight,1536262
vertexAdjMagnitude,1536262
wienerPolarityNumber,1536262
hasGeolocation,1536262
containsLinearSugars,1536262
petitjeanNumber,1536262
hasTaxonomyData,1536262
circularFingerprint,1536262
fsp3,1536262
source,1536262
uniqueSmiles,1536262
zagrebIndex,1536262
simpleSmiles,1536261
sugarFreeTotalAtomNumber,1536261
xlogp,1536261
vabcDescriptor,1536261
hasMolecularProperties,1536261
manholdlogp,1536261
numberOfNitrogens,1536261
simpleInchi,1536261
containsRingSugars,1536261
petitjeanShapeGeom,1536261
extendedFingerprint,1536261
hasAnalyticData,1536261
hasCitation,1536261
maxNumberOfRings,1536261
totalAtomNumber,1536261
bondCount,1536261
containsSugar,1536261
wienerPathNumber,1536261
numberSpiroAtoms,1536261
apol,1536261
kappaShapeIndex1,1536261
pubchemBits,1536260
sugarFreeHeavyAtomNumber,1536260
numberOfOxygens,1536260
hBondAcceptorCount,1536260
petitjeanShapeTopo,1536260
eccentricConnectivityIndexDescriptor,1536260
hasFingerprint,1536260
kappaShapeIndex3,1536260
lipinskiRuleOf5Failures,1536260
gravitationalIndexHeavyAtoms,1536260
molecularFormula,1536260
sugarFreeSmiles,1536259
smiles,1536259
isIdentifiedBy,1536258
pubchemFingerprint,1536257
hybridizationRatioDescriptor,1536206
topoPSA,1535613
alogp,1535613
alogp2,1535612
amralogp,1535612
tpsaEfficiency,1535611
originalSmiles,1531454
nplNohScore,1527132
nplScore,1527131
nplSugarScore,1527130
murkoFramework,1424200
name,171018
originalInchi,101256
originalInchiKey,84182
taxonomyReferenceObjects,43026
